tconst,director,id,popularity
tt2049403,Tim Burton,917496,28.287
tt4919268,Adil El Arbi,573435,4.664
tt4919268,Bilall Fallah,573435,8.135
tt7510222,Chris Renaud,519182,7.596
tt13433802,Michael Sarnoski,762441,2.043
tt21692408,Mike Mitchell,1011985,0.039
tt14539740,Adam Wingard,823464,7.378
tt15239678,Denis Villeneuve,693134,20.488
tt27489557,Matt Bettinelli-Olpin,1111873,2.652
tt27489557,Tyler Gillett,1111873,5.68
tt11389872,Wes Ball,653346,6.255
tt23468450,Osgood Perkins,1226578,7.553
tt18412256,Fede Alvarez,945961,8.454
tt12584954,Lee Isaac Chung,718821,2.862
tt12037194,George Miller,786892,19.855
tt6263850,Shawn Levy,533535,18.459
tt1684562,David Leitch,746036,8.142
tt17526714,Coralie Fargeat,933260,27.746
tt16426418,Luca Guadagnino,937287,9.45
tt10655524,Justin Baldoni,1079091,20.095
tt21235248,Gil Kenan,967847,1.825
tt21235248,Gil Kenan,967847,1.825
tt5177120,Guy Ritchie,799583,23.576
tt3359350,Doug Liman,359410,6.635
tt3359350,Doug Liman,359410,6.635
tt13452446,Juan Carlos Fresnadillo,763215,4.625
tt13452446,Juan Carlos Fresnadillo,763215,4.625
tt9466114,Michael Showalter,843527,7.633
tt29623480,Chris Sanders,1184918,14.609
tt17279496,Alex Garland,929590,15.869
tt27911000,Damien Leone,1034541,9.072
tt22022452,Kelsey Mann,1022789,9.692
tt3083016,Mark Molloy,280180,0.594
tt11152168,John Krasinski,639720,27.163
tt17024450,Antoine Fuqua,926393,3.132
tt11358390,Chris McKay,649609,3.182
tt11358390,Chris McKay,649609,3.182
tt0439572,Andy Muschietti,298618,4.59
tt0439572,Andy Muschietti,298618,4.59
tt10172266,Matthew López,930094,0.815
tt5755238,Robert Marianetti,1075794,1.574
tt5755238,Robert Smigel,1075794,3.415
tt5755238,David Wachtenheim,1075794,2.838
tt14230388,Wes Anderson,747188,18.701
tt4495098,Neill Blomkamp,980489,3.143
tt12672536,Martin Bourboulon,796185,1.658
tt6791350,James Gunn,447365,13.995
tt10545296,Francis Lawrence,695721,11.218
tt1136617,David Fincher,800158,12.858
tt1136617,David Fincher,800158,12.858
tt21807222,Kevin Greutert,951491,2.446
tt6495056,Benjamin Renner,940551,2.035
tt12747748,Sam Esmail,726209,8.008
tt12747748,Sam Esmail,726209,8.008
tt6166392,Paul King,787699,1.947
tt14966898,Cameron Cairnes,938614,1.303
tt14966898,Colin Cairnes,938614,2.426
tt14966898,Cameron Cairnes,938614,1.303
tt14966898,Colin Cairnes,938614,2.426
tt26047818,Will Gluck,1072790,2.969
tt12758060,Jon S. Baird,726759,2.063
tt1001520,André Øvredal,635910,3.347
tt5537002,Martin Scorsese,466420,21.467
tt11858890,Gareth Edwards,670292,0.664
tt19500164,Nick Bruno,961323,4.003
tt19500164,Troy Quane,961323,4.238
tt19500164,Nick Bruno,961323,4.003
tt19500164,Troy Quane,961323,4.238
tt6718170,Aaron Horvath,502356,3.113
tt6718170,Michael Jelenic,502356,1.076
tt12263384,Sam Hargrave,697843,5.638
tt5761544,Ric Roman Waugh,717930,6.309
tt10855768,Nicholas D. Johnson,768362,0.774
tt10855768,Will Merrick,768362,4.494
tt2906216,John Francis Daley,493529,12.787
tt2906216,Jonathan Goldstein,493529,2.752
tt2906216,John Francis Daley,493529,12.787
tt2906216,Jonathan Goldstein,493529,2.752
tt1462764,James Mangold,335977,8.009
tt15398776,Christopher Nolan,872585,37.109
tt4873118,Guy Ritchie,882569,23.576
tt5971474,Rob Marshall,447277,2.133
tt5971474,Rob Marshall,447277,2.133
tt17009710,Justine Triet,915935,5.706
tt13238346,Celine Song,666277,2.01
tt22687790,Kenneth Branagh,945729,30.65
tt22687790,Kenneth Branagh,945729,30.65
tt13375076,Julius Avery,758323,2.052
tt10275534,Damián Szifron,605886,1.948
tt7599146,Alejandro Monteverde,678512,1.985
tt10366206,Chad Stahelski,603692,12.919
tt13521006,Ari Aster,798286,11.711
tt1517268,Greta Gerwig,346698,13.325
tt13345606,Lee Cronin,713704,5.522
tt9362722,Joaquim Dos Santos,569094,3.123
tt9362722,Kemp Powers,569094,3.051
tt9362722,Justin K. Thompson,569094,4.317
tt16419074,Ben Affleck,964980,39.032
tt16419074,Ben Affleck,964980,39.032
tt15679400,M. Night Shyamalan,631842,17.441
